,assignmentid,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_easy,is_view_dep
60,21977,scene0086_00-bathroom_stall-2-28-1,The narrower of the two stalls,True,47,310,scene0086_00,bathroom stall,28,"['the', 'narrower', 'of', 'the', 'two', 'stalls']",nr3d,True,True,False,False,True,True,False
145,20355,scene0435_00-lamp-2-38-50,'The lamp between the two beds.',True,564,310,scene0435_00,lamp,38,"['the', 'lamp', 'between', 'the', 'two', 'beds', ""'""]",nr3d,True,True,True,False,False,True,False
146,14822,scene0435_00-lamp-2-50-38,'The lamp next to the window.',True,564,310,scene0435_00,lamp,50,"['the', 'lamp', 'next', 'to', 'the', 'window', ""'""]",nr3d,True,True,False,False,False,True,False
1523,31170,scene0086_00-bathroom_stall-2-1-28,the largest handicap stall,True,67,579,scene0086_00,bathroom stall,1,"['the', 'largest', 'handicap', 'stall']",nr3d,True,True,False,False,True,True,False
1524,20838,scene0086_00-bathroom_stall-2-1-28,chose the larger bathroom stall on the left that is wheel-chair accessible.,True,711,299,scene0086_00,bathroom stall,1,"['chose', 'the', 'larger', 'bathroom', 'stall', 'on', 'the', 'left', 'that', 'is', 'wheel', 'chair', 'accessible']",nr3d,True,True,True,False,True,True,True
1525,16586,scene0086_00-bathroom_stall-2-1-28,The bigger handicap bathroom stall,True,596,429,scene0086_00,bathroom stall,1,"['the', 'bigger', 'handicap', 'bathroom', 'stall']",nr3d,True,True,True,False,False,True,False
1526,17315,scene0086_00-bathroom_stall-2-1-28,Please select the large spaced bathroom stall,True,187,429,scene0086_00,bathroom stall,1,"['please', 'select', 'the', 'large', 'spaced', 'bathroom', 'stall']",nr3d,True,True,True,False,True,True,False
1543,8215,scene0086_00-bathroom_stall-2-28-1,The smaller bathroom stall.,True,714,45,scene0086_00,bathroom stall,28,"['the', 'smaller', 'bathroom', 'stall']",nr3d,True,True,True,False,True,True,False
1544,40038,scene0086_00-bathroom_stall-2-28-1,The smallest bathroom stall,True,178,401,scene0086_00,bathroom stall,28,"['the', 'smallest', 'bathroom', 'stall']",nr3d,True,True,True,False,True,True,False
1545,12199,scene0086_00-bathroom_stall-2-28-1,Its the smaller bathroom stall closest to the sinks.,True,423,469,scene0086_00,bathroom stall,28,"['its', 'the', 'smaller', 'bathroom', 'stall', 'closest', 'to', 'the', 'sinks']",nr3d,True,True,True,False,True,True,False
2196,35343,scene0086_00-bathroom_stall-2-1-28,Choose the larger bathroom stall with the handicapped access.,True,702,537,scene0086_00,bathroom stall,1,"['choose', 'the', 'larger', 'bathroom', 'stall', 'with', 'the', 'handicapped', 'access']",nr3d,True,True,True,False,True,True,False
2369,25494,scene0086_00-bathroom_stall-2-28-1,pick the smaller one.,True,384,579,scene0086_00,bathroom stall,28,"['pick', 'the', 'smaller', 'one']",nr3d,False,False,True,False,True,True,False
2538,36021,scene0378_00-bookshelf-2-37-38,the bookshelf closest to the clock,True,670,29,scene0378_00,bookshelf,37,"['the', 'bookshelf', 'closest', 'to', 'the', 'clock']",nr3d,True,True,True,False,False,True,False
2605,22274,scene0030_00-office_chair-3-2-0-1,The chair that's tucked right into the table,True,694,505,scene0030_00,office chair,2,"['the', 'chair', 'that', 'is', 'tucked', 'right', 'into', 'the', 'table']",nr3d,False,True,True,False,False,False,True
2659,2142,scene0030_00-bookshelf-5-68-17-18-19-20,The shorter bookcase between the two taller bookcases.,True,390,524,scene0030_00,bookshelf,68,"['the', 'shorter', 'bookcase', 'between', 'the', 'two', 'taller', 'bookcases']",nr3d,True,True,True,False,True,False,False
2699,23051,scene0011_00-window-2-24-23,The window nearest the front doors.,True,492,45,scene0011_00,window,24,"['the', 'window', 'nearest', 'the', 'front', 'doors']",nr3d,True,True,True,False,False,True,True
2777,28180,scene0435_00-bed-2-11-10,The bed closest to the window.,True,280,327,scene0435_00,bed,11,"['the', 'bed', 'closest', 'to', 'the', 'window']",nr3d,True,True,True,False,False,True,False
2792,13215,scene0030_00-table-5-49-47-48-50-51,It is the table that is along the same wall as the two windows and has books and papers stacked on it.,True,667,554,scene0030_00,table,49,"['it', 'is', 'the', 'table', 'that', 'is', 'along', 'the', 'same', 'wall', 'as', 'the', 'two', 'windows', 'and', 'has', 'books', 'and', 'papers', 'stacked', 'on', 'it']",nr3d,True,True,True,False,False,False,False
2833,29043,scene0011_00-cabinet-2-20-28,the cabinet next to a blackboard,True,26,596,scene0011_00,cabinet,20,"['the', 'cabinet', 'next', 'to', 'a', 'blackboard']",nr3d,True,True,False,False,False,True,False
2924,34489,scene0435_00-towel-2-30-34,find the towel on top of the toilet,True,288,348,scene0435_00,towel,30,"['find', 'the', 'towel', 'on', 'top', 'of', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
2983,40546,scene0030_00-table-5-47-48-49-50-51,The correct table is the brown one closest to the reclining chair in the corner.,True,411,645,scene0030_00,table,47,"['the', 'correct', 'table', 'is', 'the', 'brown', 'one', 'closest', 'to', 'the', 'reclining', 'chair', 'in', 'the', 'corner']",nr3d,True,True,True,True,False,False,False
2992,24457,scene0030_00-bookshelf-5-20-17-18-19-68,find the bookshelf in the corner that is next to the door,True,288,85,scene0030_00,bookshelf,20,"['find', 'the', 'bookshelf', 'in', 'the', 'corner', 'that', 'is', 'next', 'to', 'the', 'door']",nr3d,True,True,True,False,False,False,False
3000,25347,scene0378_00-bookshelf-2-37-38,"Facing the door, the shelf to the right.",True,564,553,scene0378_00,bookshelf,37,"['facing', 'the', 'door', 'the', 'shelf', 'to', 'the', 'right']",nr3d,True,True,True,False,False,True,True
3007,40653,scene0435_00-picture-2-57-28,This picture is above the dark desk.,True,353,593,scene0435_00,picture,57,"['this', 'picture', 'is', 'above', 'the', 'dark', 'desk']",nr3d,True,True,True,True,False,True,False
3011,3092,scene0086_00-door-2-8-9,The door that is closest to the toilets.,True,506,662,scene0086_00,door,8,"['the', 'door', 'that', 'is', 'closest', 'to', 'the', 'toilets']",nr3d,True,True,True,False,False,True,False
3063,18300,scene0435_00-suitcase-2-63-60,The suitcase is the one at the foot of a bed.,True,32,29,scene0435_00,suitcase,63,"['the', 'suitcase', 'is', 'the', 'one', 'at', 'the', 'foot', 'of', 'a', 'bed']",nr3d,True,True,True,False,False,True,False
3069,12133,scene0030_00-bookshelf-5-68-17-18-19-20,The short bookshelf in between the two tall bookshelves,True,570,645,scene0030_00,bookshelf,68,"['the', 'short', 'bookshelf', 'in', 'between', 'the', 'two', 'tall', 'bookshelves']",nr3d,True,True,True,False,True,False,False
3071,19151,scene0222_00-window-2-28-29,The window closest to the bed,True,16,592,scene0222_00,window,28,"['the', 'window', 'closest', 'to', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
3121,32546,scene0030_00-table-5-50-47-48-49-51,the small white table farthest from the windows and it is touching the wall with two chairs which is in front of a green chalk board.,True,18,329,scene0030_00,table,50,"['the', 'small', 'white', 'table', 'farthest', 'from', 'the', 'windows', 'and', 'it', 'is', 'touching', 'the', 'wall', 'with', 'two', 'chairs', 'which', 'is', 'in', 'front', 'of', 'a', 'green', 'chalk', 'board']",nr3d,True,True,True,True,True,False,True
3246,19344,scene0222_00-desk-2-13-14,The desk closest to the door.,True,564,327,scene0222_00,desk,13,"['the', 'desk', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
3336,13389,scene0389_00-nightstand-2-19-20,"The nightstand to the right of the bed, closest to the wall with the framed picture.",True,656,137,scene0389_00,nightstand,19,"['the', 'nightstand', 'to', 'the', 'right', 'of', 'the', 'bed', 'closest', 'to', 'the', 'wall', 'with', 'the', 'framed', 'picture']",nr3d,True,True,True,False,False,True,True
3376,33368,scene0086_00-sink-2-19-20,sink nearest the toilet,True,175,444,scene0086_00,sink,19,"['sink', 'nearest', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
3396,40687,scene0389_00-bag-2-22-23,First bag located closet to the telephone on the left side of the bed.,True,330,132,scene0389_00,bag,22,"['first', 'bag', 'located', 'closet', 'to', 'the', 'telephone', 'on', 'the', 'left', 'side', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True,True
3415,9381,scene0435_00-suitcase-2-60-63,the suitcase is by the desk,True,127,596,scene0435_00,suitcase,60,"['the', 'suitcase', 'is', 'by', 'the', 'desk']",nr3d,True,True,True,False,False,True,False
3424,5821,scene0011_00-trash_can-2-15-32,This trash can is next to a large black television.,True,628,596,scene0011_00,trash can,15,"['this', 'trash', 'can', 'is', 'next', 'to', 'a', 'large', 'black', 'television']",nr3d,True,True,True,True,True,True,False
3482,16475,scene0435_00-trash_can-2-58-32,The trash can in the bedroom under the desk,True,163,392,scene0435_00,trash can,58,"['the', 'trash', 'can', 'in', 'the', 'bedroom', 'under', 'the', 'desk']",nr3d,True,True,True,False,False,True,False
3483,9581,scene0086_00-trash_can-2-14-13,a smaller trash can inside the bigger stall,True,26,348,scene0086_00,trash can,14,"['a', 'smaller', 'trash', 'can', 'inside', 'the', 'bigger', 'stall']",nr3d,True,True,True,False,True,True,False
3534,31910,scene0389_00-backpack-2-27-18,Backpack in front of door,True,694,128,scene0389_00,backpack,27,"['backpack', 'in', 'front', 'of', 'door']",nr3d,True,True,True,False,False,True,True
3664,10496,scene0435_00-suitcase-2-60-63,"Object used to transport clothes while traveling, found on the right of the TV.",True,173,129,scene0435_00,suitcase,60,"['object', 'used', 'to', 'transport', 'clothes', 'while', 'traveling', 'found', 'on', 'the', 'right', 'of', 'the', 'tv']",nr3d,False,True,True,False,False,True,True
3685,20901,scene0030_00-bookshelf-5-20-17-18-19-68,smaller cabinet to the right of the door.,True,94,309,scene0030_00,bookshelf,20,"['smaller', 'cabinet', 'to', 'the', 'right', 'of', 'the', 'door']",nr3d,False,True,True,False,True,False,True
3706,22891,scene0378_00-chair-2-43-42,Chair directly in front of blackboard,True,694,230,scene0378_00,chair,43,"['chair', 'directly', 'in', 'front', 'of', 'blackboard']",nr3d,True,True,True,False,False,True,True
3716,37542,scene0086_00-rail-2-16-15,middle of the bar directly above the toilet flushing part,True,436,21,scene0086_00,rail,16,"['middle', 'of', 'the', 'bar', 'directly', 'above', 'the', 'toilet', 'flushing', 'part']",nr3d,True,True,True,False,False,True,False
3720,24894,scene0222_00-desk-2-14-13,The desk adjacent to the door.,True,18,85,scene0222_00,desk,14,"['the', 'desk', 'adjacent', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
3722,749,scene0435_00-bed-2-11-10,The bed closer to the windows.,True,192,429,scene0435_00,bed,11,"['the', 'bed', 'closer', 'to', 'the', 'windows']",nr3d,True,True,False,False,False,True,False
3768,13763,scene0030_00-bookshelf-5-18-17-19-20-68,"When facing the wall of bookshelves, choose the box to the  left.",True,308,132,scene0030_00,bookshelf,18,"['when', 'facing', 'the', 'wall', 'of', 'bookshelves', 'choose', 'the', 'box', 'to', 'the', 'left']",nr3d,True,True,True,False,False,False,True
3792,18144,scene0435_00-trash_can-2-58-32,The trash can that's outside of the bathroom.,True,192,440,scene0435_00,trash can,58,"['the', 'trash', 'can', 'that', 'is', 'outside', 'of', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
3840,4380,scene0086_00-bathroom_stall_door-2-10-29,The stall to the larger bathroom stall.,True,564,362,scene0086_00,bathroom stall door,10,"['the', 'stall', 'to', 'the', 'larger', 'bathroom', 'stall']",nr3d,False,True,True,False,True,True,False
3860,41108,scene0030_00-table-5-51-47-48-49-50,The table closest to the door.,True,192,444,scene0030_00,table,51,"['the', 'table', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,False,False
3947,5266,scene0378_00-bookshelf-2-37-38,The bookshelf closest to the door.,True,564,429,scene0378_00,bookshelf,37,"['the', 'bookshelf', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
3950,29876,scene0086_00-toilet-2-6-7,The toilet is located in the biggest washroom stall,True,694,598,scene0086_00,toilet,6,"['the', 'toilet', 'is', 'located', 'in', 'the', 'biggest', 'washroom', 'stall']",nr3d,True,True,True,False,False,True,False
4033,12838,scene0435_00-trash_can-2-32-58,The trash can in the bathroom.,True,181,648,scene0435_00,trash can,32,"['the', 'trash', 'can', 'in', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
4043,40296,scene0435_00-door-3-13-18-21,Door heading out of room not the door across from the other,True,129,315,scene0435_00,door,13,"['door', 'heading', 'out', 'of', 'room', 'not', 'the', 'door', 'across', 'from', 'the', 'other']",nr3d,True,True,True,False,False,False,True
4082,9719,scene0222_00-chair-2-7-6,This chair is pulled closer to a desk.,True,353,429,scene0222_00,chair,7,"['this', 'chair', 'is', 'pulled', 'closer', 'to', 'a', 'desk']",nr3d,True,True,False,False,False,True,False
4088,3570,scene0378_00-cup-2-31-32,"The cup is blue. It is near a magazine that has green on it. It is also the closest to the edge of the table, toward the office chair.",True,360,596,scene0378_00,cup,31,"['the', 'cup', 'is', 'blue', 'it', 'is', 'near', 'a', 'magazine', 'that', 'has', 'green', 'on', 'it', 'it', 'is', 'also', 'the', 'closest', 'to', 'the', 'edge', 'of', 'the', 'table', 'toward', 'the', 'office', 'chair']",nr3d,True,True,True,True,False,True,False
4091,16714,scene0086_00-toilet-2-7-6,The toilet in the smaller stall.,True,520,327,scene0086_00,toilet,7,"['the', 'toilet', 'in', 'the', 'smaller', 'stall']",nr3d,True,True,False,False,True,True,False
4180,26963,scene0378_00-cup-2-31-32,This cup is blue and is closest to the magazine.,True,328,648,scene0378_00,cup,31,"['this', 'cup', 'is', 'blue', 'and', 'is', 'closest', 'to', 'the', 'magazine']",nr3d,True,True,True,True,False,True,False
4291,31390,scene0086_00-bathroom_stall_door-2-29-10,closest of the sink,True,627,645,scene0086_00,bathroom stall door,29,"['closest', 'of', 'the', 'sink']",nr3d,False,True,True,False,False,True,False
4503,17732,scene0086_00-toilet-2-7-6,The toilet inside the stall.,True,344,429,scene0086_00,toilet,7,"['the', 'toilet', 'inside', 'the', 'stall']",nr3d,True,True,True,False,False,True,False
4573,27408,scene0435_00-bed-2-11-10,The correct bed is the one closer the window.,True,411,353,scene0435_00,bed,11,"['the', 'correct', 'bed', 'is', 'the', 'one', 'closer', 'the', 'window']",nr3d,True,True,True,False,False,True,False
4589,26133,scene0030_00-table-5-51-47-48-49-50,"When facing the windows, this table is on the right by the yellow shelving, and further from the windows.",True,353,561,scene0030_00,table,51,"['when', 'facing', 'the', 'windows', 'this', 'table', 'is', 'on', 'the', 'right', 'by', 'the', 'yellow', 'shelving', 'and', 'farther', 'from', 'the', 'windows']",nr3d,True,True,True,True,False,False,True
4638,507,scene0222_00-trash_can-3-16-17-34,The blue can that is between a gray can and the bunk beds.,True,469,249,scene0222_00,trash can,16,"['the', 'blue', 'can', 'that', 'is', 'between', 'a', 'grey', 'can', 'and', 'the', 'bunk', 'beds']",nr3d,True,True,True,True,False,False,False
4651,36243,scene0046_00-door-2-21-26,This door is blue and does not lead to a bathroom.,True,295,505,scene0046_00,door,21,"['this', 'door', 'is', 'blue', 'and', 'does', 'not', 'lead', 'to', 'a', 'bathroom']",nr3d,True,True,True,True,False,True,False
4694,16655,scene0389_00-nightstand-2-20-19,The nightstand next to a green box.,True,188,29,scene0389_00,nightstand,20,"['the', 'nightstand', 'next', 'to', 'a', 'green', 'box']",nr3d,True,True,False,True,False,True,False
4879,41085,scene0030_00-blackboard-2-21-22,This is the longer blackboard with a row of tables facing it.,True,353,353,scene0030_00,blackboard,21,"['this', 'is', 'the', 'longer', 'blackboard', 'with', 'a', 'row', 'of', 'tables', 'facing', 'it']",nr3d,True,True,True,False,True,True,True
4923,37937,scene0222_00-door-2-3-24,door on the same side of the windows,True,175,648,scene0222_00,door,3,"['door', 'on', 'the', 'same', 'side', 'of', 'the', 'windows']",nr3d,True,True,True,False,False,True,False
4944,40734,scene0389_00-nightstand-2-20-19,"If facing the bed, the nightstand on the left.",True,27,471,scene0389_00,nightstand,20,"['if', 'facing', 'the', 'bed', 'the', 'nightstand', 'on', 'the', 'left']",nr3d,True,True,True,False,False,True,True
4969,31428,scene0435_00-bed-2-10-11,The bed closest to the door and bathroom.,True,192,556,scene0435_00,bed,10,"['the', 'bed', 'closest', 'to', 'the', 'door', 'and', 'bathroom']",nr3d,True,True,True,False,False,True,False
5037,2727,scene0435_00-bed-2-11-10,It is the bed closest to the windows and furthest from the bathroom.,True,56,471,scene0435_00,bed,11,"['it', 'is', 'the', 'bed', 'closest', 'to', 'the', 'windows', 'and', 'farthest', 'from', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
5105,24451,scene0222_00-chair-2-7-6,the chair nearest the door,True,175,327,scene0222_00,chair,7,"['the', 'chair', 'nearest', 'the', 'door']",nr3d,True,True,True,False,False,True,False
5202,8079,scene0378_00-desk-3-35-0-44,the desk with the rolling chair tucked under it,True,220,274,scene0378_00,desk,35,"['the', 'desk', 'with', 'the', 'rolling', 'chair', 'tucked', 'under', 'it']",nr3d,True,True,True,False,False,False,False
5217,15904,scene0086_00-door-2-8-9,door across from sinks,True,30,257,scene0086_00,door,8,"['door', 'across', 'from', 'sinks']",nr3d,True,True,True,False,False,True,True
5299,2808,scene0389_00-backpack-2-18-27,"Facing the foot of the bed, the backpack to the right.",True,564,429,scene0389_00,backpack,18,"['facing', 'the', 'foot', 'of', 'the', 'bed', 'the', 'backpack', 'to', 'the', 'right']",nr3d,True,True,True,False,False,True,True
5349,21989,scene0086_00-rail-2-16-15,The rail over the toilet,True,16,609,scene0086_00,rail,16,"['the', 'rail', 'over', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
5392,804,scene0435_00-suitcase-2-63-60,This suitcase is at the foot of a bed.,True,353,353,scene0435_00,suitcase,63,"['this', 'suitcase', 'is', 'at', 'the', 'foot', 'of', 'a', 'bed']",nr3d,True,True,True,False,False,True,False
5495,2498,scene0030_00-office_chair-3-1-0-2,"On the side with two chairs, the chair not pushed in.",True,564,596,scene0030_00,office chair,1,"['on', 'the', 'side', 'with', 'two', 'chairs', 'the', 'chair', 'not', 'pushed', 'in']",nr3d,False,True,True,False,False,False,False
5691,10572,scene0086_00-door-2-8-9,The door directly across from the sinks and closest to the toilet.,True,183,610,scene0086_00,door,8,"['the', 'door', 'directly', 'across', 'from', 'the', 'sinks', 'and', 'closest', 'to', 'the', 'toilet']",nr3d,True,True,True,False,False,True,True
5701,18025,scene0389_00-door-2-12-7,The door that has a painting to the left of it.,True,137,132,scene0389_00,door,12,"['the', 'door', 'that', 'has', 'a', 'painting', 'to', 'the', 'left', 'of', 'it']",nr3d,True,True,True,False,False,True,True
5751,31229,scene0011_00-window-2-24-23,The window furthest away from the wall mounted TV,True,694,702,scene0011_00,window,24,"['the', 'window', 'farthest', 'away', 'from', 'the', 'wall', 'mounted', 'tv']",nr3d,True,True,True,False,False,True,False
5757,28036,scene0030_00-office_chair-3-2-0-1,The brown chair next to the blue chair facing the blackboard.,True,344,85,scene0030_00,office chair,2,"['the', 'brown', 'chair', 'next', 'to', 'the', 'blue', 'chair', 'facing', 'the', 'blackboard']",nr3d,False,True,False,True,False,False,True
5834,20718,scene0222_00-trash_can-3-17-16-34,The blue object that's closest to the bed with the blue sheets.,True,605,230,scene0222_00,trash can,17,"['the', 'blue', 'object', 'that', 'is', 'closest', 'to', 'the', 'bed', 'with', 'the', 'blue', 'sheets']",nr3d,False,True,True,True,False,False,False
5980,22261,scene0435_00-door-3-13-18-21,"Facing the exit door, the exit door.",True,564,117,scene0435_00,door,13,"['facing', 'the', 'exit', 'door', 'the', 'exit', 'door']",nr3d,True,True,False,False,False,False,True
6159,33305,scene0030_00-book-3-25-23-24,"three stacked boxes, pick one on top, closest to ceiling, furthest from floor",True,636,368,scene0030_00,book,25,"['three', 'stacked', 'boxes', 'pick', 'one', 'on', 'top', 'closest', 'to', 'ceiling', 'farthest', 'from', 'floor']",nr3d,False,True,True,False,False,False,False
6185,12247,scene0378_00-desk-3-44-0-35,Facing the window the desk on the left,True,564,233,scene0378_00,desk,44,"['facing', 'the', 'window', 'the', 'desk', 'on', 'the', 'left']",nr3d,True,True,True,False,False,False,True
6330,26312,scene0378_00-bookshelf-2-37-38,Choose the darker colored bookshelf. It's on the same wall as the clock.,True,402,192,scene0378_00,bookshelf,37,"['choose', 'the', 'darker', 'colored', 'bookshelf', 'it', 'is', 'on', 'the', 'same', 'wall', 'as', 'the', 'clock']",nr3d,True,True,True,True,False,True,False
6336,29909,scene0435_00-towel-2-34-30,The white cabinet on the wall.,True,650,444,scene0435_00,towel,34,"['the', 'white', 'cabinet', 'on', 'the', 'wall']",nr3d,False,True,True,True,False,True,False
6362,24424,scene0435_00-trash_can-2-32-58,the trash can in the bathroom next to the toilet,True,26,274,scene0435_00,trash can,32,"['the', 'trash', 'can', 'in', 'the', 'bathroom', 'next', 'to', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
6382,717,scene0389_00-chair-2-2-3,The chair right next to the tv,True,596,444,scene0389_00,chair,2,"['the', 'chair', 'right', 'next', 'to', 'the', 'tv']",nr3d,True,True,True,False,False,True,True
6399,20275,scene0389_00-door-2-7-12,The door by the brown curtains,True,596,21,scene0389_00,door,7,"['the', 'door', 'by', 'the', 'brown', 'curtains']",nr3d,True,True,True,True,False,True,False
6570,31983,scene0389_00-nightstand-2-19-20,the nightstand is on the right side of the bed where your head lies and is used to store stuff,True,697,192,scene0389_00,nightstand,19,"['the', 'nightstand', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'bed', 'where', 'your', 'head', 'lies', 'and', 'is', 'used', 'to', 'store', 'stuff']",nr3d,True,True,True,False,False,True,True
6594,8200,scene0046_00-backpack-3-18-50-52,Backpack beside the blue cushion wicker chair,True,694,572,scene0046_00,backpack,18,"['backpack', 'beside', 'the', 'blue', 'cushion', 'wicker', 'chair']",nr3d,True,True,True,True,False,False,False
6678,13508,scene0435_00-door-3-21-13-18,The door to the bathroom.,True,564,437,scene0435_00,door,21,"['the', 'door', 'to', 'the', 'bathroom']",nr3d,True,True,True,False,False,False,False
6747,37595,scene0086_00-trash_can-2-14-13,The can closest to the toiletr.,True,564,192,scene0086_00,trash can,14,"['the', 'can', 'closest', 'to', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
6925,38114,scene0086_00-sink-2-20-19,It is the sink next to the paper towel dispensers and nearest to the trash can.,True,56,367,scene0086_00,sink,20,"['it', 'is', 'the', 'sink', 'next', 'to', 'the', 'paper', 'towel', 'dispensers', 'and', 'nearest', 'to', 'the', 'trash', 'can']",nr3d,True,True,True,False,False,True,False
7082,738,scene0222_00-desk-2-13-14,A brown desk that is opposite to the other brown desk that is in between the brown door and bed,True,489,693,scene0222_00,desk,13,"['a', 'brown', 'desk', 'that', 'is', 'opposite', 'to', 'the', 'other', 'brown', 'desk', 'that', 'is', 'in', 'between', 'the', 'brown', 'door', 'and', 'bed']",nr3d,True,True,True,True,False,True,False
7140,5568,scene0222_00-bed-2-5-0,CHoose the bed with the lighter blue blanket by the windows.,True,356,702,scene0222_00,bed,5,"['choose', 'the', 'bed', 'with', 'the', 'lighter', 'blue', 'blanket', 'by', 'the', 'windows']",nr3d,True,True,True,True,False,True,False
7152,19793,scene0222_00-trash_can-3-17-16-34,the grey bin closest to the door,True,220,249,scene0222_00,trash can,17,"['the', 'grey', 'bin', 'closest', 'to', 'the', 'door']",nr3d,False,True,True,True,False,False,False
7166,15644,scene0011_00-window-2-23-24,When standing in the middle of the room facing the windows the correct one is on the right.,True,411,230,scene0011_00,window,23,"['when', 'standing', 'in', 'the', 'middle', 'of', 'the', 'room', 'facing', 'the', 'windows', 'the', 'correct', 'one', 'is', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True,True
7170,5591,scene0086_00-trash_can-2-13-14,The metal trash can closest to the exit,True,570,56,scene0086_00,trash can,13,"['the', 'metal', 'trash', 'can', 'closest', 'to', 'the', 'exit']",nr3d,True,True,True,False,False,True,False
7178,6280,scene0435_00-lamp-2-38-50,Choose the lamp on the nightstand between the two beds.,True,356,129,scene0435_00,lamp,38,"['choose', 'the', 'lamp', 'on', 'the', 'nightstand', 'between', 'the', 'two', 'beds']",nr3d,True,True,True,False,False,True,False
7188,625,scene0378_00-office_chair-2-40-41,Blueish green with armrests.,True,31,693,scene0378_00,office chair,40,"['blueish', 'green', 'with', 'armrests']",nr3d,False,False,False,True,False,True,False
7257,25742,scene0435_00-suitcase-2-63-60,The suitcase at the foot of the bed.,True,564,21,scene0435_00,suitcase,63,"['the', 'suitcase', 'at', 'the', 'foot', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
